[2020-04-17T11:05:45.810Z] INFO: type-service listening at http://0.0.0.0:8010 (in type-service.js)
[2020-04-17T14:55:43.792Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e05a90f1-6061-4aad-90d1-69c25908fb9c (in type-service.js)
[2020-04-17T14:55:43.792Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 1cac04a8-1f20-4ca9-9f70-4b5b95a955ab (in type-service.js)
[2020-04-17T14:55:43.792Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e1a12714-70eb-4ca8-a299-937dbd5ef022 (in type-service.js)
[2020-04-17T14:55:43.792Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b5f453f6-ba23-420b-85fc-e50af2ed9d43 (in type-service.js)
[2020-04-17T14:55:43.792Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 10372863-c812-4fe4-ab50-e52a8f17f8fc (in type-service.js)
[2020-04-17T14:55:43.799Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 0321de0f-b86b-46b3-9699-9d8241e83b76 (in type-service.js)
[2020-04-17T14:55:43.804Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 92f49765-3679-4018-851a-74d9e67e7079 (in type-service.js)
[2020-04-17T14:55:43.804Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 cb7d311e-1a61-4806-87ef-f9d09b0b5e05 (in type-service.js)
[2020-04-17T14:55:43.804Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 2bec3db3-bc38-41f8-8090-d7ac8aa18d74 (in type-service.js)
[2020-04-17T14:55:43.804Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 4b556f38-02ce-4785-afa4-3730cd8af7c1 (in type-service.js)
[2020-04-17T14:55:43.805Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 0f11c42b-009d-47b6-adcd-a27cc37ae6e1 (in type-service.js)
[2020-04-17T14:55:43.812Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 a29fb792-e3b3-425e-a357-b800a8c9c282 (in type-service.js)
[2020-04-17T14:55:43.812Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 e06a83c6-925f-4975-a0b8-19bf75b3950d (in type-service.js)
[2020-04-17T14:55:44.024Z] INFO: type tagging 28 datasets took 299ms (in type-service.js)
[2020-04-17T14:55:58.589Z] INFO: type-service listening at http://0.0.0.0:8010 (in type-service.js)
[2020-04-17T14:55:58.590Z] INFO: type-service listening at http://0.0.0.0:8110 (in type-service.js)
[2020-04-17T14:56:03.032Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 7b4fe237-5449-4c36-a127-0b2de943598d (in type-service.js)
[2020-04-17T14:56:03.032Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 3d6b95e1-bf1b-40e8-9c0f-e07decdf6754 (in type-service.js)
[2020-04-17T14:56:03.033Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab378db5-7de7-466f-96da-8d2eb72b2915 (in type-service.js)
[2020-04-17T14:56:03.042Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 b18e8d77-46c0-41f6-b9fe-6ba0229ddb40 (in type-service.js)
[2020-04-17T14:56:03.049Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 ab92b96f-39d4-407b-9829-eb7473f11b30 (in type-service.js)
[2020-04-17T14:56:03.063Z] INFO: cache miss a51d76c4-4f25-422c-be01-a709bf510092 d08ea79d-a146-484f-90c1-75e04ab008db (in type-service.js)
